id,title,priority,requirements,dependencies,test_ids,role,assignee,definition_status,execution_status,acceptance_status,review_id,business_result
AT-00,隔离基线与字段消费者清单,P0,REQ-001 ; REQ-004 ; REQ-026 ; REQ-027,,TC-31 ; TC-30,Airtable开发（集成包由集成开发协作）,,Defined,Unassigned,Not Submitted,,明确正式系统与测试副本的差异，让第一批修复有可靠恢复点。
AT-01,统一任务完成和统计口径,P0,REQ-006 ; REQ-008 ; REQ-011 ; REQ-023,AT-00 ; GOV-01,TC-01 ; TC-02 ; TC-03,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,项目进度、Open、个人工作和周报使用同一事实。
AT-02,My Work与人员责任维护,P0,REQ-008 ; REQ-010 ; REQ-026 ; REQ-028,AT-00 ; GOV-01 ; GOV-02,TC-12 ; TC-14 ; TC-23,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,用户能准确找到本人责任、逾期和待核验，换人后队列及时更新。
AT-03,Program、Project与SKU关系生命周期,P0,REQ-001 ; REQ-002 ; REQ-004 ; REQ-007,AT-00 ; GOV-01,TC-07 ; TC-08 ; TC-09 ; TC-10 ; TC-11,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,关联完整、SKU执行互不覆盖，大项目不会只处理前一部分。
AT-04,模板与统一排期处理,P0,REQ-009 ; REQ-018,AT-01 ; AT-03 ; GOV-01,TC-04 ; TC-05 ; TC-06 ; TC-09,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,建项目计划可预览、可补缺，日期与原始承诺一致可追。
AT-05,Issue结果、验证关闭与重开,P0,REQ-008 ; REQ-011 ; REQ-012 ; REQ-013 ; REQ-015,AT-01 ; AT-02 ; GOV-01,TC-02 ; TC-13 ; TC-23,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,问题解决有行动、有结果、有独立验证，经验可以复用。
AT-06,计划导入与Bridge可靠写入,P0,REQ-003 ; REQ-004 ; REQ-011,AT-01 ; AT-03 ; GOV-01,TC-15 ; TC-16 ; TC-17 ; TC-18 ; TC-30,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,导入不会重复、覆盖较新事实或把来源完成声称变成正式核验。
AT-07,团队Data Center与托管处理,P0,REQ-003 ; REQ-027 ; REQ-028,AT-06 ; GOV-02,TC-15 ; TC-17 ; TC-24 ; TC-25,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,普通用户在Interface上传、预览、修正、提交和下载，无需找开发者运行桌面脚本。
AT-08,统一Project Hub与组合界面,P0,REQ-005 ; REQ-006 ; REQ-007 ; REQ-028,AT-01 ; AT-03 ; AT-04 ; AT-05,TC-10 ; TC-22 ; TC-23,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,用户在一个英文Interface看清项目状态、原因、责任和下一步。
AT-09,周报、提醒与Tracker结果,P0,REQ-010 ; REQ-019 ; REQ-021,AT-01 ; AT-02 ; AT-06 ; AT-07 ; AT-08,TC-19 ; TC-20 ; TC-21,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,报告可追溯，提醒准确停止，Tracker输出保留公式与Baseline。
AT-10,最小案例复用与运行维护,P0,REQ-016 ; REQ-017 ; REQ-027 ; REQ-028,AT-05 ; AT-07 ; GOV-02,TC-25 ; TC-28,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,已验证经验能找到，另一维护者可解释并恢复后台失败。
AT-11,角色、完整链路与生产发布验收,P0,REQ-026 ; REQ-027 ; REQ-028 ; REQ-029,AT-00 ; AT-01 ; AT-02 ; AT-03 ; AT-04 ; AT-05 ; AT-06 ; AT-07 ; AT-08 ; AT-09 ; AT-10 ; GOV-02 ; GOV-03,TC-22 ; TC-23 ; TC-24 ; TC-25 ; TC-26 ; TC-27,Airtable开发（集成包由集成开发协作）,,Defined,Waiting Dependencies,Not Submitted,,正式业务按批次接受，团队能独立使用且可恢复。
AT-12,计划交互与模板升级增强,P1,REQ-009 ; REQ-018,AT-04 ; AT-11,TC-06 ; TC-29,Airtable开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,批量排期和模板升级提高效率，同时保留可解释影响。
AT-13,管理Review与轻量待决事项,P1,REQ-014 ; REQ-020,AT-05 ; AT-09 ; AT-11,TC-20 ; TC-29,Airtable开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,管理讨论形成明确决定与行动，减少重复记录。
AT-14,有来源的AI摘要与案例推荐,P1,REQ-017 ; REQ-022 ; REQ-023,AT-09 ; AT-10 ; AT-11 ; GOV-02,TC-20 ; TC-28,Airtable开发（集成包由集成开发协作）,,Defined,Deferred,Not Submitted,,减少摘要与检索时间，用户能核对建议的依据。
MS-00,微软环境、许可和运行身份,P0,REQ-026 ; REQ-027 ; REQ-029,,TC-25 ; TC-32,Power Platform开发（集成包由集成开发协作）,,Defined,Blocked Environment,Not Submitted,,形成可部署、可运行、可交接的公司环境，明确离线与部署的边界。
MS-01,复用Bridge并分离公共规则,P0,REQ-003 ; REQ-004 ; REQ-011 ; REQ-019,,TC-04 ; TC-15 ; TC-16 ; TC-17 ; TC-18 ; TC-19 ; TC-30,Power Platform开发（集成包由集成开发协作）,,Defined,Unassigned,Not Submitted,,在无Dataverse时也能准备稳定的数据处理工程，两端不重复实现业务规则。
