action_id,source_row,capability_id,module,capability,original_action,original_explanation,original_output,original_acceptance,historical_design_status,historical_dependency,historical_owner,historical_date,historical_execution_status,historical_evidence,requirements,tasks,current_scope,disposition,current_acceptance
M1.1-A01,8,M1.1,执行数据基础,业务对象定义,定义项目结构对象,明确Programme、Project、SKU等层级分别代表什么，以及一个Project如何包含多个SKU。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,进行中,,REQ-001 ; REQ-002,AT-00 ; AT-03 ; MS-02 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.1-A02,9,M1.1,执行数据基础,业务对象定义,定义计划执行对象,明确阶段、里程碑、任务和交付物分别表达什么，避免日期和状态混用。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-008 ; REQ-009,AT-04 ; MS-02 ; MS-05 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.1-A03,10,M1.1,执行数据基础,业务对象定义,定义异常对象,明确Risk、Issue、Delay和Blocker如何区分，以及异常应该关联到哪个业务对象。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-012 ; REQ-013,AT-05 ; MS-02 ; MS-07 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.1-A04,11,M1.1,执行数据基础,业务对象定义,定义恢复与决策对象,明确问题发生后如何记录恢复行动、责任人、管理决定、实际结果和验证关闭。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-013 ; REQ-014,AT-05 ; MS-07 ; AT-13 ; MS-12 ; GOV-01,P0/P1分层,恢复对象P0由Tasks类型承载；独立Decision模型P1评估，不据本Action创建重复行动库。,Not Submitted
M1.1-A05,12,M1.1,执行数据基础,业务对象定义,定义组织责任对象,明确人员、团队、角色、执行责任、确认责任和决策责任如何区分。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-002 ; REQ-026,AT-02 ; MS-02 ; MS-07 ; GOV-01 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.1-A06,13,M1.1,执行数据基础,业务对象定义,确认对象系统归属,明确每类数据在哪里创建、在哪里维护、谁负责，以及AutoPM是读取、引用、计算还是写入。,对象清单、定义及系统归属表,对象定义唯一清晰，边界和系统归属明确,TARGET,TBD,TBD,TBD,进行中,,REQ-002 ; REQ-003 ; REQ-029,AT-03 ; MS-02 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.2-A01,14,M1.2,执行数据基础,对象关系模型,建立项目层级、计划、责任、异常和恢复结果关系,完成“建立项目层级、计划、责任、异常和恢复结果关系”，使“对象关系模型”能够按统一规则执行、检查并留下可验证结果。,业务对象关系图及关系规则,任务、异常和行动可追溯，汇总可下钻，无孤立核心记录,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-008 ; REQ-013 ; REQ-015,AT-03 ; AT-04 ; AT-05 ; MS-02 ; MS-05 ; MS-07 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.2-A02,15,M1.2,执行数据基础,对象关系模型,建立汇总下钻规则,完成“建立汇总下钻规则”，使“对象关系模型”能够按统一规则执行、检查并留下可验证结果。,业务对象关系图及关系规则,任务、异常和行动可追溯，汇总可下钻，无孤立核心记录,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-007,AT-01 ; AT-08 ; MS-04 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.2-A03,16,M1.2,执行数据基础,对象关系模型,处理跨项目和多SKU关系,完成“处理跨项目和多SKU关系”，使“对象关系模型”能够按统一规则执行、检查并留下可验证结果。,业务对象关系图及关系规则,任务、异常和行动可追溯，汇总可下钻，无孤立核心记录,TARGET,TBD,TBD,TBD,未开始,,REQ-001,AT-03 ; MS-02 ; MS-06 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.3-A01,17,M1.3,执行数据基础,唯一标识与映射,定义Project、SKU、Milestone、Task、Issue、Action和Decision标识,完成“定义Project、SKU、Milestone、Task、Issue、Action和Decision标识”，使“唯一标识与映射”能够按统一规则执行、检查并留下可验证结果。,唯一标识、映射和去重规则,同一对象不重复，上下游稳定匹配，历史记录可处理,TARGET,TBD,TBD,TBD,进行中,,REQ-002,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,项目/任务/问题等身份P0；Decision ID预留设计，不代表P0建立Decision平台。,Not Submitted
M1.3-A02,18,M1.3,执行数据基础,唯一标识与映射,建立上游映射、去重和历史无ID处理规则,完成“建立上游映射、去重和历史无ID处理规则”，使“唯一标识与映射”能够按统一规则执行、检查并留下可验证结果。,唯一标识、映射和去重规则,同一对象不重复，上下游稳定匹配，历史记录可处理,TARGET,TBD,TBD,TBD,进行中,,REQ-002,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.4-A01,19,M1.4,执行数据基础,字段与状态标准,定义身份、责任、日期、生命周期、健康、执行和数据确认字段,完成“定义身份、责任、日期、生命周期、健康、执行和数据确认字段”，使“字段与状态标准”能够按统一规则执行、检查并留下可验证结果。,字段字典、状态字典和转换规则,日期和状态不混用，状态条件明确，自动结果可解释,TARGET,TBD,TBD,TBD,进行中,,REQ-004 ; REQ-006 ; REQ-008,AT-01 ; AT-02 ; AT-04 ; MS-02 ; MS-03 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.4-A02,20,M1.4,执行数据基础,字段与状态标准,定义状态转换、重开和关闭规则,完成“定义状态转换、重开和关闭规则”，使“字段与状态标准”能够按统一规则执行、检查并留下可验证结果。,字段字典、状态字典和转换规则,日期和状态不混用，状态条件明确，自动结果可解释,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-011 ; REQ-015,AT-01 ; AT-05 ; MS-03 ; MS-07 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.5-A01,21,M1.5,执行数据基础,数据来源与责任,确认关键字段正式来源,完成“确认关键字段正式来源”，使“数据来源与责任”能够按统一规则执行、检查并留下可验证结果。,数据来源矩阵、责任矩阵和读写规则,关键字段有来源和责任，无规则双维护被消除，冲突可处理,TARGET,TBD,TBD,TBD,进行中,,REQ-002 ; REQ-003 ; REQ-029,AT-03 ; AT-06 ; MS-01 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.5-A02,22,M1.5,执行数据基础,数据来源与责任,明确读写计算引用边界,完成“明确读写计算引用边界”，使“数据来源与责任”能够按统一规则执行、检查并留下可验证结果。,数据来源矩阵、责任矩阵和读写规则,关键字段有来源和责任，无规则双维护被消除，冲突可处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-003 ; REQ-029,AT-03 ; AT-06 ; MS-01 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.5-A03,23,M1.5,执行数据基础,数据来源与责任,指定业务与数据Owner,完成“指定业务与数据Owner”，使“数据来源与责任”能够按统一规则执行、检查并留下可验证结果。,数据来源矩阵、责任矩阵和读写规则,关键字段有来源和责任，无规则双维护被消除，冲突可处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-026 ; REQ-028,GOV-01 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.5-A04,24,M1.5,执行数据基础,数据来源与责任,定义冲突、失败和双系统维护规则,完成“定义冲突、失败和双系统维护规则”，使“数据来源与责任”能够按统一规则执行、检查并留下可验证结果。,数据来源矩阵、责任矩阵和读写规则,关键字段有来源和责任，无规则双维护被消除，冲突可处理,TARGET,TBD,TBD,TBD,未开始,,REQ-003 ; REQ-004 ; REQ-029,AT-06 ; MS-08 ; MS-10 ; GOV-01 ; GOV-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.6-A01,25,M1.6,执行数据基础,真实项目数据初始化,确认试点项目,完成“确认试点项目”，使“真实项目数据初始化”能够按统一规则执行、检查并留下可验证结果。,可运行试点数据及修复清单,项目具有真实结构和执行数据，关系完整，业务抽样一致,TARGET,TBD,TBD,TBD,未开始,,REQ-028,GOV-03,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.6-A02,26,M1.6,执行数据基础,真实项目数据初始化,清理记录,完成“清理记录”，使“真实项目数据初始化”能够按统一规则执行、检查并留下可验证结果。,可运行试点数据及修复清单,项目具有真实结构和执行数据，关系完整，业务抽样一致,TARGET,TBD,TBD,TBD,进行中,,REQ-002 ; REQ-004,AT-03 ; AT-06 ; MS-10 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.6-A03,27,M1.6,执行数据基础,真实项目数据初始化,建立Project与SKU关系,完成“建立Project与SKU关系”，使“真实项目数据初始化”能够按统一规则执行、检查并留下可验证结果。,可运行试点数据及修复清单,项目具有真实结构和执行数据，关系完整，业务抽样一致,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-002,AT-03 ; MS-02 ; MS-06 ; MS-10,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.6-A04,28,M1.6,执行数据基础,真实项目数据初始化,导入Milestone、Task、成员、异常和Action,完成“导入Milestone、Task、成员、异常和Action”，使“真实项目数据初始化”能够按统一规则执行、检查并留下可验证结果。,可运行试点数据及修复清单,项目具有真实结构和执行数据，关系完整，业务抽样一致,TARGET,TBD,TBD,TBD,进行中,,REQ-002 ; REQ-004,AT-03 ; AT-06 ; MS-10 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.6-A05,29,M1.6,执行数据基础,真实项目数据初始化,完成业务抽样,完成“完成业务抽样”，使“真实项目数据初始化”能够按统一规则执行、检查并留下可验证结果。,可运行试点数据及修复清单,项目具有真实结构和执行数据，关系完整，业务抽样一致,TARGET,TBD,TBD,TBD,未开始,,REQ-004 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.7-A01,30,M1.7,执行数据基础,数据质量与审计,建立必填、关系、重复、冲突、未更新和业务逻辑检查,完成“建立必填、关系、重复、冲突、未更新和业务逻辑检查”，使“数据质量与审计”能够按统一规则执行、检查并留下可验证结果。,质量规则、问题清单和审计记录,问题可识别、分配和关闭，关键变化可追溯,TARGET,TBD,TBD,TBD,进行中,,REQ-004,AT-01 ; AT-03 ; AT-06 ; MS-03 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.7-A02,31,M1.7,执行数据基础,数据质量与审计,记录关键变更和数据产生方式,完成“记录关键变更和数据产生方式”，使“数据质量与审计”能够按统一规则执行、检查并留下可验证结果。,质量规则、问题清单和审计记录,问题可识别、分配和关闭，关键变化可追溯,TARGET,TBD,TBD,TBD,未开始,,REQ-004 ; REQ-011,AT-05 ; AT-06 ; MS-03 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M1.7-A03,32,M1.7,执行数据基础,数据质量与审计,关闭质量问题,完成“关闭质量问题”，使“数据质量与审计”能够按统一规则执行、检查并留下可验证结果。,质量规则、问题清单和审计记录,问题可识别、分配和关闭，关键变化可追溯,TARGET,TBD,TBD,TBD,未开始,,REQ-004,AT-06 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.1-A01,33,M2.1,项目执行与问题闭环,项目进入与初始化,识别新增与重复项目,完成“识别新增与重复项目”，使“项目进入与初始化”能够按统一规则执行、检查并留下可验证结果。,已初始化项目及范围责任记录,项目身份唯一，结构、责任和模板明确,TARGET,TBD,TBD,TBD,进行中,,REQ-001 ; REQ-009,AT-04 ; MS-05 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M2.1-A02,34,M2.1,项目执行与问题闭环,项目进入与初始化,确认Programme、Project Group、SKU、类型、阶段、范围、负责人、成员和模板,完成“确认Programme、Project Group、SKU、类型、阶段、范围、负责人、成员和模板”，使“项目进入与初始化”能够按统一规则执行、检查并留下可验证结果。,已初始化项目及范围责任记录,项目身份唯一，结构、责任和模板明确,TARGET,TBD,TBD,TBD,未开始,,REQ-001 ; REQ-009,AT-04 ; MS-05 ; GOV-01,P0,旧文Project Group与PRD冲突；保留原动作，按Program/Project/SKU正式对象和关系映射，不新增Project Group层级。,Not Submitted
